"lat","long","year","pop1","citystate","rape_per100k"
45.79,-108.54,1994,87173,"Billings MT",0
45.79,-108.54,1963,56389,"Billings MT",0
45.79,-108.54,1996,88886,"Billings MT",0
45.79,-108.54,1993,85442,"Billings MT",0
30.41,-88.93,1968,53090,"Biloxi MS",0
30.41,-88.93,1966,50186,"Biloxi MS",0
30.41,-88.93,1969,58053,"Biloxi MS",0
30.41,-88.93,2006,50028,"Biloxi MS",0
30.41,-88.93,1976,51448,"Biloxi MS",0
30.41,-88.93,1967,50335,"Biloxi MS",0
45.17,-93.21,2006,54445,"Blaine MN",0
45.17,-93.21,2007,56747,"Blaine MN",0
45.17,-93.21,2008,56808,"Blaine MN",0
40.81,-74.19,1968,53825,"Bloomfield NJ",0
40.81,-74.19,1969,53957,"Bloomfield NJ",0
40.81,-74.19,1963,52490,"Bloomfield NJ",0
40.81,-74.19,1961,51867,"Bloomfield NJ",0
40.81,-74.19,1976,51466,"Bloomfield NJ",0
40.81,-74.19,1967,53899,"Bloomfield NJ",0
40.81,-74.19,1962,52075,"Bloomfield NJ",0
40.81,-74.19,1964,55038,"Bloomfield NJ",0
40.81,-74.19,1960,51867,"Bloomfield NJ",0
40.81,-74.19,1965,53510,"Bloomfield NJ",0
40.48,-88.97,1996,56018,"Bloomington IL",0
40.48,-88.97,1992,52881,"Bloomington IL",0
40.48,-88.97,1995,55938,"Bloomington IL",0
40.48,-88.97,1991,52482,"Bloomington IL",0
40.48,-88.97,2003,67700,"Bloomington IL",0
40.48,-88.97,1999,59247,"Bloomington IL",0
40.48,-88.97,2000,64808,"Bloomington IL",0
40.48,-88.97,1998,58591,"Bloomington IL",0
40.48,-88.97,1997,56249,"Bloomington IL",0
40.48,-88.97,2005,69553,"Bloomington IL",0
40.48,-88.97,2001,65137,"Bloomington IL",0
40.48,-88.97,2004,68832,"Bloomington IL",0
40.48,-88.97,2006,70124,"Bloomington IL",0
40.48,-88.97,2007,71770,"Bloomington IL",0
40.48,-88.97,1993,54533,"Bloomington IL",0
40.48,-88.97,2009,73897,"Bloomington IL",0
40.48,-88.97,1990,51972,"Bloomington IL",0
40.48,-88.97,2008,73309,"Bloomington IL",0
40.48,-88.97,1994,54789,"Bloomington IL",0
40.48,-88.97,2002,65755,"Bloomington IL",0
39.17,-86.52,1984,53147,"Bloomington IN",0
44.83,-93.32,2008,80996,"Bloomington MN",0
44.83,-93.32,1972,86300,"Bloomington MN",0
44.83,-93.32,1993,86115,"Bloomington MN",0
44.83,-93.32,2006,81706,"Bloomington MN",0
44.83,-93.32,1965,66542,"Bloomington MN",0
44.83,-93.32,2007,80218,"Bloomington MN",0
26.37,-80.11,1988,62981,"Boca Raton FL",0
41.7,-88.08,1998,53747,"Bolingbrook IL",0
41.7,-88.08,2005,64561,"Bolingbrook IL",0
41.7,-88.08,2001,54850,"Bolingbrook IL",0
41.7,-88.08,2006,66773,"Bolingbrook IL",0
41.7,-88.08,2002,55371,"Bolingbrook IL",0
41.7,-88.08,2009,70531,"Bolingbrook IL",0
41.7,-88.08,1999,54662,"Bolingbrook IL",0
41.7,-88.08,2000,54573,"Bolingbrook IL",0
41.7,-88.08,2004,64545,"Bolingbrook IL",0
41.7,-88.08,2003,61184,"Bolingbrook IL",0
41.7,-88.08,2008,70355,"Bolingbrook IL",0
41.7,-88.08,2007,69940,"Bolingbrook IL",0
40.03,-105.25,1973,81039,"Boulder CO",0
40.03,-105.25,1971,69000,"Boulder CO",0
40.03,-105.25,1966,54000,"Boulder CO",0
40.03,-105.25,1974,82522,"Boulder CO",0
